CustomerID,Lookalikes
C0001,"[('C0039', np.float64(0.9999167561486281)), ('C0079', np.float64(0.9998833522681517)), ('C0112', np.float64(0.9993111429853242))]"
C0002,"[('C0069', np.float64(0.999988272366038)), ('C0086', np.float64(0.999786687703147)), ('C0007', np.float64(0.9997317539690463))]"
C0003,"[('C0030', np.float64(0.9988622731718326)), ('C0085', np.float64(0.9967326430114567)), ('C0077', np.float64(0.996113184971047))]"
C0004,"[('C0150', np.float64(0.9996625437744724)), ('C0044', np.float64(0.9995630874203332)), ('C0040', np.float64(0.9995287882888566))]"
C0005,"[('C0172', np.float64(0.9986891025131007)), ('C0043', np.float64(0.9985908861198628)), ('C0194', np.float64(0.998398940519275))]"
C0006,"[('C0119', np.float64(0.9995012848277881)), ('C0153', np.float64(0.9991617032444308)), ('C0020', np.float64(0.9984123214802487))]"
C0007,"[('C0128', np.float64(0.9998882377431547)), ('C0002', np.float64(0.9997317539690463)), ('C0069', np.float64(0.999607860842188))]"
C0008,"[('C0096', np.float64(0.9999840117132255)), ('C0164', np.float64(0.9995834792320268)), ('C0098', np.float64(0.9947705379811482))]"
C0009,"[('C0089', np.float64(0.9999909185374387)), ('C0176', np.float64(0.999952882539442)), ('C0016', np.float64(0.9997141939188285))]"
C0010,"[('C0185', np.float64(0.9999991948252303)), ('C0095', np.float64(0.9998696270368288)), ('C0182', np.float64(0.9989237726394478))]"
C0011,"[('C0047', np.float64(0.9997351834217839)), ('C0086', np.float64(0.9996935256242412)), ('C0069', np.float64(0.999177125053689))]"
C0012,"[('C0179', np.float64(0.9999961009502929)), ('C0077', np.float64(0.9997397752453223)), ('C0083', np.float64(0.9996274882846105))]"
C0013,"[('C0132', np.float64(0.9995315723397454)), ('C0193', np.float64(0.9985458685219484)), ('C0131', np.float64(0.9971831337047142))]"
C0014,"[('C0066', np.float64(0.9999965645903015)), ('C0160', np.float64(0.9999674290301424)), ('C0056', np.float64(0.9942920011469802))]"
C0015,"[('C0144', np.float64(0.9999601277679376)), ('C0177', np.float64(0.9998844737375936)), ('C0149', np.float64(0.9986993942654837))]"
C0016,"[('C0089', np.float64(0.9998070003703114)), ('C0009', np.float64(0.9997141939188285)), ('C0176', np.float64(0.9994350191152582))]"
C0017,"[('C0018', np.float64(0.9999634950063011)), ('C0093', np.float64(0.999788963339052)), ('C0141', np.float64(0.9995851864458839))]"
C0018,"[('C0017', np.float64(0.9999634950063011)), ('C0154', np.float64(0.9997827614596271)), ('C0093', np.float64(0.9995769332776513))]"
C0019,"[('C0022', np.float64(0.9975429868199469)), ('C0064', np.float64(0.9975235642629079)), ('C0161', np.float64(0.9961599691854324))]"
C0020,"[('C0146', np.float64(0.9999772230525935)), ('C0153', np.float64(0.9998812886912325)), ('C0110', np.float64(0.9994779038846305))]"
