CustomerID,Lookalikes
C0001,"[('C0110', np.float64(0.9999933542151336)), ('C0049', np.float64(0.9990298898242032)), ('C0137', np.float64(0.9977648704444159))]"
C0002,"[('C0098', np.float64(0.9999402428969576)), ('C0104', np.float64(0.9995916116428036)), ('C0058', np.float64(0.9995625179603048))]"
C0003,"[('C0095', np.float64(0.999999600481742)), ('C0032', np.float64(0.9999887281461046)), ('C0115', np.float64(0.9999141356703904))]"
C0004,"[('C0109', np.float64(0.9997303030836683)), ('C0165', np.float64(0.9996993890531223)), ('C0173', np.float64(0.9992003927655994))]"
C0005,"[('C0165', np.float64(0.9980993650545107)), ('C0048', np.float64(0.9964961592074844)), ('C0004', np.float64(0.9962884013586502))]"
C0006,"[('C0031', np.float64(0.9999702661532448)), ('C0076', np.float64(0.9999581600805273)), ('C0038', np.float64(0.9997360467268648))]"
C0007,"[('C0079', np.float64(0.9999525839523284)), ('C0017', np.float64(0.999808131228908)), ('C0036', np.float64(0.9993389294677932))]"
C0008,"[('C0073', np.float64(0.999653121852931)), ('C0111', np.float64(0.9993463276950127)), ('C0182', np.float64(0.998741972699607))]"
C0009,"[('C0185', np.float64(0.9998956511186499)), ('C0157', np.float64(0.9996885000613476)), ('C0084', np.float64(0.9983704215039833))]"
C0010,"[('C0132', np.float64(0.9999997440767938)), ('C0151', np.float64(0.9998974326802901)), ('C0169', np.float64(0.9998108188117238))]"
C0011,"[('C0162', np.float64(0.9999611079342301)), ('C0051', np.float64(0.9999256204181037)), ('C0189', np.float64(0.9999220425494683))]"
C0012,"[('C0191', np.float64(0.9999785615359892)), ('C0074', np.float64(0.9990883946744592)), ('C0180', np.float64(0.9990001408066118))]"
C0013,"[('C0130', np.float64(0.9996965226889414)), ('C0158', np.float64(0.9994454795750478)), ('C0044', np.float64(0.9992724647380183))]"
C0014,"[('C0084', np.float64(0.9996098896697853)), ('C0117', np.float64(0.9981948976346342)), ('C0139', np.float64(0.9972456866848466))]"
C0015,"[('C0196', np.float64(0.999993717217812)), ('C0083', np.float64(0.9997091117532355)), ('C0173', np.float64(0.9996329335233168))]"
C0016,"[('C0171', np.float64(0.9999999568725146)), ('C0060', np.float64(0.999551052165172)), ('C0068', np.float64(0.9985386865774144))]"
C0017,"[('C0036', np.float64(0.9998593243250113)), ('C0007', np.float64(0.999808131228908)), ('C0079', np.float64(0.9995699723944839))]"
C0018,"[('C0034', np.float64(0.999402033130895)), ('C0154', np.float64(0.9991718834519384)), ('C0095', np.float64(0.9966130827446006))]"
C0019,"[('C0136', np.float64(0.999814997477178)), ('C0043', np.float64(0.9984302574561571)), ('C0192', np.float64(0.9977843312525613))]"
C0020,"[('C0091', np.float64(0.9993386855134172)), ('C0118', np.float64(0.9988467245298444)), ('C0025', np.float64(0.9979626934547432))]"
